name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
GCF_002918465	Citrobacter sp. RHBSTW-00881	2742667	S	2	1	3	0.14286
GCF_002918465	Citrobacter sp. RHB35-C21	2742626	S	2	1	3	0.14286
GCF_002918465	Citrobacter sp. RHBSTW-01044	2742678	S	1	0	1	0.04762
GCF_002918465	Citrobacter sp. RHBSTW-00986	2742675	S	1	0	1	0.04762
GCF_002918465	Citrobacter sp. RHBSTW-00570	2742655	S	1	1	2	0.09524
GCF_002918465	Citrobacter sp. RHBSTW-00599	2742657	S	1	0	1	0.04762
GCF_002918465	Citrobacter braakii	57706	S	1	0	1	0.04762
GCF_002114305	Citrobacter werkmanii	67827	S	15	6	21	0.5
GCF_002114305	Citrobacter freundii	546	S	4	8	12	0.28571
GCF_002114305	Klebsiella pneumoniae	573	S	5	2	7	0.16667
GCF_002796505	Citrobacter freundii	546	S	2	0	2	1.0
GCF_000972645	Citrobacter sp. RHBSTW-00599	2742657	S	23	6	29	0.2197
GCF_000972645	Citrobacter sp. TSA-1	184912	S	20	4	24	0.18182
GCF_000972645	Citrobacter sp. RHB36-C18	2742627	S	10	3	13	0.09848
GCF_000972645	Citrobacter sp. RHBSTW-00887	2742668	S	9	1	10	0.07576
GCF_000972645	Citrobacter sp. RHBSTW-00524	2742653	S	8	1	9	0.06818
GCF_000972645	Citrobacter sp. RHBSTW-01044	2742678	S	6	1	7	0.05303
GCF_000972645	Citrobacter sp. RHBSTW-00570	2742655	S	6	3	9	0.06818
GCF_000972645	Citrobacter sp. 172116965	2683822	S	5	2	7	0.05303
GCF_000972645	Citrobacter sp. RHB35-C21	2742626	S	5	0	5	0.03788
GCF_000972645	Citrobacter freundii	546	S	8	-4	4	0.0303
GCF_000972645	Escherichia coli	562	S	5	5	10	0.07576
SD_2_G2	Citrobacter amalonaticus	35703	S	59	53	112	0.66272
SD_2_G2	Citrobacter sp. CFNIH10	1920110	S	10	19	29	0.1716
SD_2_G2	Citrobacter sp. RHB35-C17	2742625	S	9	18	27	0.15976
GCF_003665615	Citrobacter freundii	546	S	3	0	3	1.0
ERQ0165	Citrobacter sp. RHBSTW-00903	2742670	S	11	61	72	0.33028
ERQ0165	Citrobacter sp. RHB36-C18	2742627	S	5	1	6	0.02752
ERQ0165	Citrobacter sp. RHBSTW-00424	2742647	S	4	95	99	0.45413
ERQ0165	Citrobacter sp. TSA-1	184912	S	4	0	4	0.01835
ERQ0165	Citrobacter sp. RHBSTW-00524	2742653	S	4	0	4	0.01835
ERQ0165	Citrobacter sp. RHBSTW-01013	2742677	S	4	13	17	0.07798
ERQ0165	Citrobacter sp. LY-1	2546350	S	4	-4	0	0.0
ERQ0165	Citrobacter freundii	546	S	13	-7	6	0.02752
ERQ0165	Enterobacter hormaechei	158836	S	4	0	4	0.01835
GCF_003665635	Citrobacter freundii	546	S	1	0	1	1.0
SD_5_D4	Citrobacter freundii	546	S	17	18	35	0.77778
SD_5_D4	Citrobacter braakii	57706	S	4	5	9	0.2
ERQ0678	Citrobacter sp. RHBSTW-00986	2742675	S	113	121	234	0.53061
ERQ0678	Citrobacter freundii	546	S	76	11	87	0.19728
